step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
0,0.035511565,0.500000000,0.000000000,0.200000000,0.191817984,0.989268720,0.318289369,-0.960257590,-0.326912612,0.045765676,0.540943146,-0.380657107,0.991039097,-0.005715770,-0.969537020,-0.041137543,0.068960018,0.202864319,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.084997476,0.500000000,0.000000000,0.200000000,0.138523519,0.983814001,0.265505910,-0.941695750,-0.222101167,0.064373367,0.552703023,-0.250279188,0.987020731,0.064429715,-0.954047859,0.054578308,0.301348716,0.143892720,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.135321282,0.500000000,0.000000000,0.200000000,0.116829351,0.984008789,0.176714644,-0.925022483,-0.281610221,0.213016912,0.553938448,-0.173256963,0.985516429,0.154621378,-0.936054826,0.112782203,0.395483673,0.097356416,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3,0.184979455,0.500000000,0.000000000,0.200000000,0.083244219,0.984254241,0.099576212,-0.900084257,-0.327350557,0.338947922,0.550874352,-0.132528350,0.984988570,0.204595372,-0.910597205,0.128105730,0.490398407,0.071385585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
4,0.234956575,0.500000000,0.000000000,0.200000000,0.043653429,0.984811366,0.020307066,-0.860858321,-0.366745830,0.458310813,0.541340947,-0.110674731,0.985188186,0.232741311,-0.872671068,0.115788274,0.577115655,0.055036057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5,0.285016621,0.500000000,0.000000000,0.200000000,0.009451808,0.985470891,-0.057165347,-0.795489252,-0.398293376,0.572561443,0.526572704,-0.100937888,0.985806823,0.241321847,-0.812965870,0.082368843,0.652397215,0.042626791,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6,0.334892758,0.500000000,0.000000000,0.200000000,-0.013214132,0.986013651,-0.130067512,-0.680141091,-0.418485016,0.676856339,0.504892647,-0.098170787,0.986608624,0.235027879,-0.713905752,0.034173284,0.718064725,0.032892071,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
7,0.384929388,0.500000000,0.000000000,0.200000000,-0.016610302,0.986240506,-0.200682387,-0.473887742,-0.423555195,0.767126620,0.474538475,-0.101752803,0.987320602,0.218234807,-0.542451441,-0.019557314,0.777007699,0.026637286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
8,0.434905124,0.500000000,0.000000000,0.200000000,0.001644774,0.985889733,-0.269906670,-0.129835695,-0.408621788,0.837570131,0.437863410,-0.107493378,0.987578690,0.197580144,-0.251471639,-0.083502844,0.828672767,0.029934522,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
9,0.484929239,0.500000000,0.000000000,0.200000000,0.030440208,0.984711885,-0.335783720,0.299400300,-0.360471457,0.885139406,0.387760490,-0.112761252,0.986793101,0.181749046,0.156690866,-0.123839438,0.871411562,0.058341116,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
