step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
0,0.035511565,0.500000000,0.000000000,0.200000000,0.185668798,0.989745980,0.322508247,-0.952743866,-0.336219216,0.054296589,0.542809355,-0.375222623,0.996489796,-0.000540893,-0.937297213,-0.048919033,0.069642302,0.234271241,-0.006149186,0.000477260,0.004218878,0.007513724,-0.009306604,0.008530913,0.001866209,0.005434484,0.005450699,0.005174877,0.032239807,-0.007781490,0.000682284,0.031406922
1,0.084997476,0.500000000,0.000000000,0.200000000,0.131415843,0.984350258,0.261782674,-0.941969542,-0.217505348,0.048991552,0.550062554,-0.261113653,0.985330092,0.061201836,-0.932270187,0.046902714,0.326114444,0.136619442,-0.007107676,0.000536257,-0.003723236,-0.000273792,0.004595819,-0.015381815,-0.002640469,-0.010834465,-0.001690639,-0.003227879,0.021777672,-0.007675594,0.024765728,-0.007273278
2,0.135321282,0.500000000,0.000000000,0.200000000,0.118271145,0.984074410,0.176776876,-0.940591811,-0.278370053,0.216074726,0.554571205,-0.168466638,0.979523025,0.153226947,-0.945563928,0.091095968,0.400795214,0.085978949,0.001441794,0.000065621,0.000062232,-0.015569328,0.003240168,0.003057814,0.000632757,0.004790325,-0.005993404,-0.001394431,-0.009509102,-0.021686235,0.005311541,-0.011377467
3,0.184979455,0.500000000,0.000000000,0.200000000,0.082831349,0.987959859,0.100820557,-0.898600558,-0.316954293,0.348875513,0.555697517,-0.136548355,0.998127199,0.203979841,-0.927245207,0.116285224,0.506408726,0.085037740,-0.000412870,0.003705618,0.001244345,0.001483699,0.010396264,0.009927591,0.004823165,-0.004020005,0.013138629,-0.000615531,-0.016648002,-0.011820506,0.016010319,0.013652155
4,0.234956575,0.500000000,0.000000000,0.200000000,0.050466509,0.983293019,0.018471214,-0.877401982,-0.385870363,0.458166932,0.545551675,-0.102101898,0.979502485,0.238211975,-0.880961504,0.119760019,0.589067090,0.047738852,0.006813080,-0.001518347,-0.001835852,-0.016543661,-0.019124533,-0.000143881,0.004210728,0.008572833,-0.005685701,0.005470664,-0.008290436,0.003971745,0.011951435,-0.007297205
5,0.285016621,0.500000000,0.000000000,0.200000000,0.004752398,0.986540875,-0.058122758,-0.803111574,-0.392153113,0.570849136,0.527591311,-0.108381553,0.991103633,0.236885854,-0.818509116,0.058551503,0.669146490,0.044303128,-0.004699410,0.001069984,-0.000957411,-0.007622322,0.006140263,-0.001712307,0.001018607,-0.007443665,0.005296810,-0.004435993,-0.005543246,-0.023817340,0.016749275,0.001676337
6,0.334892758,0.500000000,0.000000000,0.200000000,-0.010755784,0.983209375,-0.129237934,-0.685588521,-0.406897239,0.664346799,0.505831423,-0.090033576,0.977885897,0.235539224,-0.729491785,0.034722838,0.722879253,0.056470068,0.002458348,-0.002804276,0.000829578,-0.005447430,0.011587777,-0.012509540,0.000938776,0.008137211,-0.008722727,0.000511345,-0.015586033,0.000549554,0.004814528,0.023577997
7,0.384929388,0.500000000,0.000000000,0.200000000,-0.015716986,0.985104604,-0.197570881,-0.473852415,-0.413098711,0.762307912,0.478094734,-0.100450751,0.989095846,0.222938547,-0.550066067,-0.026057676,0.784349512,0.025134789,0.000893316,-0.001135902,0.003111506,0.000035327,0.010456484,-0.004818708,0.003556259,0.001302052,0.001775244,0.004703740,-0.007614626,-0.006500362,0.007341813,-0.001502497
8,0.434905124,0.500000000,0.000000000,0.200000000,0.001894461,0.985222805,-0.271569255,-0.117921615,-0.389640086,0.826580518,0.441893246,-0.101796884,0.996398789,0.198418332,-0.262035763,-0.086057285,0.815265111,0.000005727,0.000249687,-0.000666928,-0.001662585,0.011914080,0.018981702,-0.010989613,0.004029836,0.005696494,0.008820099,0.000838188,-0.010564124,-0.002554441,-0.013407656,-0.029928795
9,0.484929239,0.500000000,0.000000000,0.200000000,0.030025965,0.985138598,-0.337303259,0.302020300,-0.375454641,0.893551033,0.387338760,-0.112448768,0.992025676,0.179104716,0.193987092,-0.107950812,0.889213109,0.061051439,-0.000414243,0.000426713,-0.001519539,0.002620000,-0.014983184,0.008411627,-0.000421730,0.000312484,0.005232575,-0.002644330,0.037296226,0.015888626,0.017801547,0.002710323
10,0.534962747,0.500000000,0.000000000,0.200000000,0.048759667,0.982814269,-0.372368775,0.631230316,-0.244389816,0.914656685,0.328379621,-0.128296924,0.993465828,0.170630774,0.513215270,-0.157483433,0.921467735,0.130354804,-0.003776966,0.000824170,-0.003937415,0.003222606,0.002274574,0.009840296,0.001173337,0.001151162,0.010149287,-0.000543126,-0.007643971,-0.006493960,0.021067514,0.000570727
11,0.585048484,0.500000000,0.000000000,0.200000000,0.069370436,0.971303742,-0.347910935,0.797197677,-0.060644063,0.906349398,0.250185304,-0.149631279,0.982507071,0.139101930,0.753702036,-0.204659387,0.893283716,0.245362830,-0.003047486,-0.003224153,-0.005638087,0.004318632,0.005670135,0.013254858,-0.001852519,0.003841025,0.009480915,-0.010710455,0.033220342,-0.014452323,-0.016426274,0.016718101
12,0.634915661,0.500000000,0.000000000,0.200000000,0.093981976,0.956930304,-0.256929906,0.851152193,0.145208137,0.820321578,0.144067063,-0.194743516,0.942687570,0.104087878,0.780447062,-0.246425283,0.909020309,0.309042631,0.002199697,0.002002085,0.003517596,0.004184973,-0.001215501,-0.006173950,0.001569181,-0.014812442,-0.001345576,0.003659870,-0.016554002,0.010714757,0.014175241,0.001384257
13,0.684920315,0.500000000,0.000000000,0.200000000,0.105355145,0.901967711,-0.170960933,0.840203751,0.387079665,0.638843043,0.029700339,-0.206495234,0.861357538,0.027748421,0.842839180,-0.341254885,0.840727376,0.318171723,-0.000806606,0.000913567,0.003473550,-0.003444981,0.019962409,0.012140794,0.002679259,0.010799265,0.009592978,-0.006468776,0.036596714,-0.018376882,0.003070282,-0.019819366
