step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
0,0.035511565,0.500000000,0.000000000,0.200000000,-0.124330795,1.000000000,0.641305541,-0.688849756,-0.861445910,0.288453607,0.805454364,-0.212676906,1.000000000,0.413143774,-0.006620490,-0.363134767,0.088684583,0.678629300,-0.316148779,0.010731280,0.323016172,0.271407834,-0.534533298,0.242687931,0.264511218,0.167980201,0.008960903,0.418859544,0.962916530,-0.321997224,0.019724565,0.475764981
1,0.084997476,0.500000000,0.000000000,0.200000000,-0.226904177,1.000000000,-0.019561653,-0.951585557,0.041863884,-0.373209468,0.178450376,-0.585173096,0.904655743,-0.196837906,-0.303607219,-0.263036979,1.000000000,0.033714110,-0.365427696,0.016185999,-0.285067563,-0.009889807,0.263965051,-0.437582835,-0.374252647,-0.334893908,-0.082364988,-0.261267621,0.650440640,-0.317615287,0.698651284,-0.110178610
2,0.135321282,0.500000000,0.000000000,0.200000000,0.190956442,1.000000000,0.181479431,-1.000000000,-0.095508223,0.300005793,0.643623606,-0.025187759,0.693528280,0.041754803,-1.000000000,-0.784591935,0.549038266,-0.074994135,0.074127091,0.015991211,0.004764787,-0.074977517,0.186101998,0.086988881,0.089685158,0.148069204,-0.291988149,-0.112866575,-0.063945174,-0.897374138,0.153554593,-0.172350551
3,0.184979455,0.500000000,0.000000000,0.200000000,0.062017273,1.000000000,0.194848848,-0.846490637,0.269768380,0.621368655,1.000000000,-0.256786905,1.000000000,0.154773662,-1.000000000,-0.361025569,0.953250557,0.278194045,-0.021226946,0.015745759,0.095272636,0.053593620,0.597118937,0.282420733,0.449125648,-0.124258555,0.015011430,-0.049821710,-0.089402795,-0.489131299,0.462852150,0.206808460
4,0.234956575,0.500000000,0.000000000,0.200000000,0.393935034,0.554736051,-0.120253961,-1.000000000,-1.000000000,0.454217674,1.000000000,0.154312011,0.708190783,0.675542129,-1.000000000,0.280138671,0.922627053,-0.055505007,0.350281605,-0.430075315,-0.140561027,-0.139141679,-0.633254170,-0.004093139,0.458659053,0.264986742,-0.276997403,0.442800818,-0.127328932,0.164350397,0.345511398,-0.110541064
5,0.285016621,0.500000000,0.000000000,0.200000000,-0.232159465,1.000000000,-0.130469005,-1.000000000,-0.045621749,0.523849615,0.670947190,-0.331021971,1.000000000,-0.117731731,-0.978527744,-0.903190178,1.000000000,0.068020638,-0.241611273,0.014529109,-0.073303658,-0.204510748,0.352671627,-0.048711828,0.144374486,-0.230084083,0.014193177,-0.359053578,-0.165561874,-0.985559021,0.347602785,0.025393847
6,0.334892758,0.500000000,0.000000000,0.200000000,0.113177184,0.191696296,-0.066551345,-0.876911068,0.247069550,0.320984176,0.637952093,0.153350849,0.561652616,0.276416635,-1.000000000,0.056913759,0.857250879,0.390061285,0.126391316,-0.794317355,0.063516167,-0.196769977,0.665554566,-0.355872163,0.133059446,0.251521636,-0.424956008,0.041388756,-0.286094248,0.022740475,0.139186154,0.357169214
7,0.384929388,0.500000000,0.000000000,0.200000000,0.029317848,0.664493703,0.037548452,-0.472611688,0.177022524,0.630043707,0.978592584,-0.061506313,1.000000000,0.598960111,-0.769879880,-0.288541594,0.989256698,0.003876850,0.045928150,-0.321746803,0.238230839,0.001276054,0.600577719,-0.137082913,0.504054109,0.040246490,0.012679398,0.380725304,-0.227428439,-0.268984280,0.212248999,-0.022760436
8,0.434905124,0.500000000,0.000000000,0.200000000,0.014481963,0.796980738,-0.397201596,0.300520105,0.681609627,0.524936944,1.000000000,0.068585548,1.000000000,0.265423921,-0.566993667,-0.189205357,0.441062590,-0.423439193,0.012837189,-0.188908995,-0.127294926,0.430355800,1.090231415,-0.312633187,0.562136590,0.176078926,0.012421310,0.067843777,-0.315522028,-0.105702513,-0.387610177,-0.453373715
9,0.484929239,0.500000000,0.000000000,0.200000000,0.009142710,1.000000000,-0.452126399,0.394038924,-1.000000000,1.000000000,0.327985673,-0.103102360,1.000000000,-0.032285604,1.000000000,0.533630253,1.000000000,0.099398199,-0.021297498,0.015288115,-0.116342679,0.094638624,-0.639528543,0.114860594,-0.059774817,0.009658892,0.013206899,-0.214034650,0.843309134,0.657469691,0.128588438,0.041057083
10,0.534962747,0.500000000,0.000000000,0.200000000,-0.141648918,1.000000000,-0.669897459,0.744413459,-0.116022145,1.000000000,0.493511799,-0.093865608,1.000000000,0.127212738,0.292554349,-0.419708868,1.000000000,0.138429689,-0.194185551,0.018009901,-0.301466099,0.116405749,0.130642245,0.095183611,0.166305515,0.035582478,0.016683459,-0.043961162,-0.228304892,-0.268719395,0.099599779,0.008645612
11,0.585048484,0.500000000,0.000000000,0.200000000,-0.084262807,0.061279304,-0.773949985,0.948874999,0.259355161,1.000000000,-0.010533009,-0.034746014,1.000000000,-0.717102177,1.000000000,-0.788242674,0.434832729,0.481897412,-0.156680729,-0.913248591,-0.431677137,0.155995954,0.325669359,0.106905460,-0.262570832,0.118726290,0.026973844,-0.866914562,0.279518306,-0.598035610,-0.474877261,0.253252683
12,0.634915661,0.500000000,0.000000000,0.200000000,0.204875518,1.000000000,0.008875383,0.998135206,0.076610226,0.650858623,0.364909126,-0.637784452,0.878479019,0.396661468,0.302577447,0.186235466,1.000000000,0.328627669,0.113093239,0.045071781,0.269322885,0.151167986,-0.069813412,-0.175636905,0.222411244,-0.457853378,-0.065554127,0.296233460,-0.494423617,0.443375506,0.105154932,0.020969295
13,0.684920315,0.500000000,0.000000000,0.200000000,0.064691625,1.000000000,0.091516011,0.719210471,1.000000000,0.972084301,0.406771721,0.116511373,1.000000000,-0.489371771,1.000000000,-1.000000000,0.926417766,0.037759174,-0.041470126,0.098945856,0.265950494,-0.124438261,0.632882744,0.345382052,0.379750641,0.333805872,0.148235440,-0.523588968,0.193757534,-0.677121997,0.088760672,-0.300231915
14,0.734905732,0.500000000,0.000000000,0.200000000,0.326384224,0.924363998,-0.027642092,-0.634068177,0.968127279,0.220516920,-0.833905009,0.110209164,0.446298090,-0.306587612,0.942957531,-0.608585200,0.804379661,0.232310166,0.173774026,0.207156924,0.101591194,-1.432962523,0.449274866,0.057844579,-0.774292295,0.361036506,-0.053455624,-0.287352884,0.186784874,-0.282224796,0.165007133,-0.098106394
15,0.784955885,0.500000000,0.000000000,0.200000000,0.036431935,-0.274859997,0.191645877,0.774394472,0.221057698,-0.423231897,-0.443360189,0.267930355,-0.042155416,0.017937969,1.000000000,-0.524013320,-0.247010787,0.148593875,-0.245331112,-0.533617082,0.335026996,0.051691671,-0.419967011,-0.131922421,-0.332111502,0.514887091,0.136976509,0.069867268,0.355256498,-0.340538258,-0.457863440,-0.136764375
16,0.834919162,0.500000000,0.000000000,0.200000000,0.499394340,-0.706426584,-0.390536251,0.627089665,0.445269139,-1.000000000,0.259543103,-0.189198275,-0.904017819,0.236486002,0.565638194,-0.409522664,-0.731449299,-0.206926585,0.047285480,-0.095157050,-0.143169703,0.075604663,-0.249163060,-0.240617633,0.278277996,-0.067142327,-0.110728515,0.189608756,0.172246644,-0.604041707,-0.318055444,-0.387269364
17,0.884882450,0.500000000,0.000000000,0.200000000,0.232047351,-0.715369745,-0.592845486,-0.087603376,-0.234345225,-0.600404286,0.089097824,0.190497613,-0.948265708,-0.154539544,0.383773846,0.490121177,-0.058008926,0.207100583,-0.337377874,0.129919366,-0.215744690,-0.487857208,-0.760713962,0.280391074,-0.171559486,0.047251007,-0.042140878,-0.376874868,0.169025970,0.044828376,0.531231685,0.150516765
